id,name,subsidiary,therapeutic_area,category,type,tagline,overview,features,indication,patient_population,specs,reg_notes,image,tier,classification,business_segment,applicable_departments,model_numbers,development_status,status,fda,fda_cert,fda_qualifier,ce,ce_cert,ce_qualifier,nmpa,nmpa_cert,nmpa_qualifier,pmda,pmda_cert,pmda_qualifier,tga,tga_cert,tga_qualifier
foxtrottmpro,FOXTROT™PRO,"Shanghai MicroPort Medical (Group) Co., Ltd",Coronary and Structural Heart,,PTCA Balloon Catheter (Semi-Compliant) I,PTCA Balloon Catheter (Semi-Compliant) I,"Indicated for dilation of soft plaques including lipid-rich plaques and pre-dilatation prior to stent implantation; thin-wall balloon design enables rapid deflation and a reduced crossing profile, supports balloon kissing within a 6F guiding catheter and facilitates efficient retrieval by reducing pullback resistance.",,,,"Length (mm): 6, 10, 15, 20, 25 | Diameter (mm): 1.5, 2.0, 2.5, 3.0, 3.5, 4.0",CE: 2141980DE02. NMPA: 20153030384.,s3:products/dd0d7e0adfe4c6aa8dd20af31f4029ad208607730f9759d65e3173b95d6c3eda.png,,,Comprehensive Cardiovascular Intervention & Imaging,Cardiology,,,ACTIVE,,,,cleared,,,cleared,,,,,,,,
gali-crtd,GALI™ CRT-D,MicroPort CardioFlow,Heart Failure and Electrophysiology,Defibrillators & CRT,Cardiac resynchronization therapy defibrillator,MRI-conditional CRT-D with outstanding longevity and AutoMRI,"GALI™ CRT-D succeeds PLATINIUM™ CRT-D and is designed for outstanding longevity. It is 1.5T and 3T full-body MRI conditional via AutoMRI™, supports remote monitoring, and features PARAD+™, BTO™, and SafeR™ algorithms.","1.5T and 3T full-body MRI conditional | AutoMRI™ | PARAD+™, BTO™, SafeR™ | Remote monitoring",Heart failure requiring cardiac resynchronization with defibrillation backup,,Models: GALI CRTD 2711 | GALI CRTD 2741 | GALI CRTD 2744,CE I7 005178 0033 Rev.00. NMPA 20233120203. PMDA 23000BZI00012000,gali-crtd.jpg,,,Heart Failure Management & Electrophysiology,Cardiology,GALI CRTD 2711 | GALI CRTD 2741 | GALI CRTD 2744,,ACTIVE,,,,cleared,,,cleared,,,cleared,,,,,
gali-crtd-sonr,GALI™ CRT-D SonR®,MicroPort CardioFlow,Heart Failure and Electrophysiology,Defibrillators & CRT,Cardiac resynchronization therapy defibrillator,MRI-conditional CRT-D with SonR® automatic AV/VV optimization,"GALI™ CRT-D SonR® succeeds PLATINIUM™ CRT-D SonR® and adds the unique SonR® real-time contractility sensor, which measures left ventricular contractility and automatically optimizes AV and VV delays at rest and during exercise. It is 1.5T and 3T full-body MRI conditional.","SonR® real-time contractility sensor | Automatic AV and VV delay optimization at rest and exercise | 1.5T and 3T MRI conditional | AutoMRI™ | PARAD+™, BTO™, SafeR™",Heart failure requiring cardiac resynchronization with defibrillation backup and hemodynamic optimization,,Models: GALI SonR CRTD 2811 | GALI SonR CRTD 2841,"CE G70 005178 0038 Rev.01. PMDA 30400BZX00268000. TGA 400139, 400140, 400141",gali-crtd-sonr.jpg,,,Heart Failure Management & Electrophysiology,Cardiology,GALI SonR CRTD 2811 | GALI SonR CRTD 2841,,ACTIVE,,,,cleared,,,,,,cleared,,,cleared,,
genesis-rmn,Genesis RMN™,MicroPort EverPace,Heart Failure and Electrophysiology,EP mapping & diagnostics,Magnetic navigation system,Magnetic navigation system for complex cardiac arrhythmia treatment,The Genesis RMN is a magnetic navigation system indicated for the treatment of complex cardiac arrhythmias.,Magnetic-guided navigation for complex arrhythmias,Treatment of complex cardiac arrhythmias,Patients with complex cardiac arrhythmias,,NMPA 20243010626.,genesis-rmn.jpg,,,Heart Failure Management & Electrophysiology,Cardiology | Cardiac Electrophysiology | Interventional Catheterization Lab,,,ACTIVE,,,,,,,cleared,,,,,,,,
gladiator-bipolar,Gladiator® Bipolar,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Hip systems,Bipolar acetabular cup,Bipolar design with cross-linked polyethylene and enhanced locking detail,The Gladiator® System is a bipolar design featuring a cross-linked polyethylene bearing surface with an enhanced lock detail for additional strength.,Cross-linked polyethylene bearing | Enhanced lock detail for strength | Bipolar design,Hip arthroplasty (bipolar),,Sizes 36MM-59MM,FDA K062693. PMDA 22200BZX00620000.,gladiator-bipolar.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,36MM-59MM,,ACTIVE,cleared,,,,,,,,,cleared,,,,,
hawkmastertm-detachable-fibered-embolization-coil,HawkMaster™ Detachable Fibered Embolization Coil,"Shanghai MicroPort Endovascular MedTech (Group) Co., Ltd.","Urology, Oncology, and Gastroenterology",,Embolization Coil,Embolization Coil,Indicated for blocking or reducing blood flow in peripheral vasculature during embolization procedures,,,,"Guidewiresystems: 18, 35",NMPA: 20263130508.,s3:products/f30b5c390412c9106ab26116dc3fe7ad7f9fbf7dd425760cb979907dce55ba08.png,,,Aortic & Peripheral & Tumor Intervention,Vascular Surgeon | Cardiovascular Surgeon | Interventionist | Cardiothoracic Surgeon | Radiology,D2D1802040 | D2D1802060 | D2D1803060 | D2D1803120 | D2D1804080 | D2D1804150 | D2D1805080 | D2D1805150 | D2D1806100 | D2D1806200 | D2D1808200 | D2D1810200 | D2D1810300 | D2D1810500 | D2D1812200 | D2D1812300 | D2D1814200 | D2D1814300 | D2D1814500 | D2D1818500 | D2D1820500 | D2D1822600 | DTS1803023 | DTS1804041 | DTS1805058 | DTS1806080 | D2D3503040 | D2D3504040 | D2D3504100 | D2D3504200 | D2D3506100 | D2D3506200 | D2D3508100 | D2D3508200 | D2D3508400 | D2D3510200 | D2D3510400 | D2D3512200 | D2D3512400 | D2D3515200 | D2D3515400 | D2D3518200 | D2D3518400 | D3D3504060 | D3D3504150 | D3D3506100 | D3D3506200 | D3D3508150 | D3D3508200 | D3D3510150 | D3D3510250 | D3D3510400 | D3D3515250 | D3D3515400 | D3D3520400 | DTS3504045 | DTS3506090 | DTS3508140 | DTS3510215 | DTS3512300,,ACTIVE,,,,,,,cleared,,,,,,,,
hawknest,HawkNest®,MicroPort Endovastec,Aortic and Peripheral Vasculature,Embolization & filters,Fiber wool plug spring embolization coil,Fibered spring coil for peripheral vascular aneurysm and malformation embolization,"HawkNest® is a fiber wool plug spring coil for embolization of peripheral vascular aneurysms, arteriovenous malformations, and arteriovenous fistulas. Available in 18-system and 35-system configurations compatible with respective guidewire sizes.",18-system (0.018 in guidewire) and 35-system (0.035 in guidewire) configurations | Multiple coil geometry options | Wide range of diameter and length combinations,"Filling treatment of peripheral vascular aneurysms, arteriovenous malformations, and arteriovenous fistulas","Patients with peripheral vascular aneurysms, arteriovenous malformations, or fistulas requiring embolization",18-system: compatible with 0.018 in guidewire | 35-system: compatible with 0.035 in guidewire,NMPA 20243131759.,hawknest.jpg,,,Aortic & Peripheral & Tumor Intervention,Vascular Surgeon | Cardiovascular Surgeon | Interventionist | Cardiothoracic Surgeon | Radiology,P2C180210 | P2D180430 | PLN180002 | PLN180005 | P3C180420 | P3C180630 | P3C180740 | P3C180850 | P3C181060 | P3C181170 | PTS180323 | PTS180441 | PTS180558 | PTS180680 | PTW180322 | PTW180442 | PTW180560 | PTW180685 | P2D350320 | P2D350340 | P2D350430 | P2D350530 | P2D350550 | P2D350640 | P2D350740 | P2D350960 | PTW350430 | PTW350535 | PTW350653 | PTW350767,,ACTIVE,,,,,,,cleared,20243131759,,,,,,,
hector,Hector™,MicroPort Endovastec,Aortic and Peripheral Vasculature,Stent-grafts,Triple-branch arch graft,Thoracic multi-branch (arch) stent-graft system,Fully endovascular triple-branch arch graft with rapid deployment of all three branches without flow interruption; post-deployment adjustability.,Fully endovascular triple-branch — avoids open/hybrid arch repair | Self-aligning integrated brachiocephalic stent | Preloaded LSA catheter; movable inner tunnels for LCCA/LSA,Aortic arch aneurysm and ulcer. Investigational: chronic / post-type-A dissection.,Arch aneurysms (~10% of thoracic aortic aneurysms).,Type: Fully endovascular triple-branch arch system,FDA: Breakthrough Device Designation (Feb 2026). NMPA: Green Path (special review). CE: CMD.,hector.jpg,,,,,,,ACTIVE,in progress,,,cleared,MDR 764415 R000,CMD-only,in progress,,,,,,,,
hercules-balloon-inflation-catheter,Hercules® Balloon Inflation Catheter,MicroPort Endovastec,Aortic and Peripheral Vasculature,Balloon catheters,Aortic balloon inflation catheter,Balloon catheter for posterior aortic dilation,"The Hercules® Balloon Inflation Catheter is designed for posterior aortic dilation, with a maximum balloon inflation diameter of 40 mm and a catheter working length of 100 mm.",Max balloon inflation diameter 32–40 mm | Catheter working length 100 mm,Posterior aortic dilation during endovascular procedures,,Max Inflation Diameter: 32–40 mm | Catheter Working Length: 100 mm,"NMPA 20193031812. CE M.2021.106.14548, M.2021.106.14584-1.",hercules-balloon-inflation-catheter.jpg,,,Aortic & Peripheral & Tumor Intervention,Vascular Surgeon | Cardiovascular Surgeon | Interventionist | Cardiothoracic Surgeon | Radiology,,,ACTIVE,,,,cleared,"M.2021.106.14548, M.2021.106.14584-1.",,cleared,20193031812,,,,,,,
hercules-bifurcated,Hercules® Bifurcated,MicroPort Endovastec,Aortic and Peripheral Vasculature,Stent-grafts,Bifurcated abdominal aortic stent-graft system,Classic split-structure abdominal aortic stent-graft for durable aneurysm repair,The Hercules® Bifurcated is a classic split-structured abdominal aortic stent-graft designed for durability and reliability in endovascular aneurysm repair. The delivery system uses a 16F sheath for the contralateral limb and 20F or 22F for the main body.,Split bifurcated structure | Main body sheath 20F/22F; contralateral limb 16F | Main body diameters 20–34 mm | Contralateral limb diameters 12–18 mm | Main body lengths 130–170 mm,Endovascular repair of abdominal aortic aneurysms,Patients with abdominal aortic aneurysms requiring endovascular repair,"Mainbody Stent Graft Diameter: 20–34 mm | Mainbody Stent Graft Length: 130–170 mm | Contralateral Limb Diameter: 12–18 mm | Delivery Sheath: 16F (limb), 20F/22F (mainbody)",NMPA 20193131892.,hercules-bifurcated.jpg,,,Aortic & Peripheral & Tumor Intervention,Vascular Surgeon | Cardiovascular Surgeon | Interventionist | Cardiothoracic Surgeon | Radiology,,,ACTIVE,,,,,,,cleared,20193131892,,,,,,,
hercules-low-profile,Hercules® Low Profile,MicroPort Endovastec,Aortic and Peripheral Vasculature,Stent-grafts,Low-profile thoracic aortic stent-graft system,Straight thoracic stent-graft with low-profile delivery for aortic arch navigation,The Hercules® Low Profile is a tubular thoracic aortic stent-graft designed for thoracic aortic aneurysm repair. Its low-profile delivery system facilitates navigation through the aortic arch.,Low-profile delivery system | Tubular stent-graft configuration | Catheter outer diameters 14–20F | Delivery working length 500–850 mm | Bracket lengths 40–160 mm or 180–200 mm,Endovascular repair of thoracic aortic aneurysms,Patients with thoracic aortic aneurysms requiring endovascular repair,Graft Diameter: 12–44 mm | Catheter Outer Diameter: 14–20F | Delivery Working Length: 500–850 mm | Bracket Length: 40–160 mm or 180–200 mm (size-dependent),"NMPA 20153130517. CE M.2020.106.13468, M.2020.106.13468-1.",hercules-low-profile.jpg,,,Aortic & Peripheral & Tumor Intervention,Vascular Surgeon | Cardiovascular Surgeon | Interventionist | Cardiothoracic Surgeon | Radiology,,,ACTIVE,,,,cleared,"M.2020.106.13468, M.2020.106.13468-1.",,cleared,20153130517,,,,,,,
holter-analysis-software,Holter Analysis Software,MicroPort Coronary,Heart Failure and Electrophysiology,Cardiac monitoring,Holter analysis software,Dynamic ECG analysis and reporting software with advanced automatic analysis technology,"Holter Analysis Software provides dynamic ECG analysis, editing, reporting, and storage with advanced signal modulation and automatic analysis technology, supporting clinical review of ambulatory ECG recordings.",Dynamic ECG analysis and editing | Automated analysis technology | Advanced signal modulation | Reporting and storage capabilities,"Analysis, editing, reporting, and storage of dynamic ECG data from ambulatory monitoring",Patients requiring Holter ECG analysis across cardiology and multiple clinical departments,Model: EPBL-EWS-1A,NMPA 20242210022.,holter-analysis-software.jpg,,,Intelligent Surgery & Telemedicine,Cardiology | ECG Unit | Geriatrics | Nephrology | Rehabilitation | Surgery | Respiratory Medicine | Endocrinology | Obstetrics and Gynaecology | Neurology,EPBL-EWS-1A,,ACTIVE,,,,,,,cleared,,,,,,,,
icemagic-cryosage,IceMagic® CryoSage,MicroPort EverPace,Heart Failure and Electrophysiology,EP generators & accessories,Cryoablation console,Cryoablation console for safe and effective atrial fibrillation therapy,"The IceMagic CryoSage is a cryoablation console that works with balloon catheters to deliver safe and effective treatment for refractory atrial fibrillation, designed to set new standards in paroxysmal AF therapy.",Works with balloon catheters | Safe and effective AF treatment | Targets paroxysmal atrial fibrillation,Cryoablation treatment of refractory and paroxysmal atrial fibrillation,Patients with refractory or paroxysmal atrial fibrillation,Model: EPAQ-CRYO-1A,NMPA 20233011226.,s3:products/236e6008142ab132d34ec17045cd82dbffa65bc9c3f7770520c650968f0f3acd.png,,,Heart Failure Management & Electrophysiology,Cardiology | Cardiac Electrophysiology | Interventional Catheterization Lab,EPAQ-CRYO-1A,,ACTIVE,,,,,,,cleared,,,,,,,,
icemagic-cryosphere,IceMagic® CryoSphere,MicroPort EverPace,Heart Failure and Electrophysiology,Ablation catheters,Cryoablation catheter,Customized cryoablation catheter for efficient treatment of refractory atrial fibrillation,"The IceMagic CryoSphere is a cryoablation catheter offering customized cryoablation options for efficient treatment of refractory atrial fibrillation, with strong safety and adaptability across patient anatomies.",Customized cryoablation options | Strong safety profile | Adaptable for refractory AF | Compatible accessories for varied anatomy,Cryoablation treatment of refractory atrial fibrillation,Patients with refractory atrial fibrillation,Accessories: EPAS125 | EPAT185 | EPAU250; Models: EPAM230 | EPAM280 | EPAM231 | EPAM281 | EPBM280 | EPBN280,NMPA 20233011225.,icemagic-cryosphere.jpg,,,Heart Failure Management & Electrophysiology,Cardiology | Cardiac Electrophysiology | Interventional Catheterization Lab,EPAM230 | EPAM280 | EPAM231 | EPAM281 | EPBM280 | EPBN280 | EPAS125 | EPAT185 | EPAU250,,ACTIVE,,,,,,,cleared,,,,,,,,
icemagic-easyloop-mapping,IceMagic® EasyLoop® Mapping Catheter,MicroPort EverPace,Heart Failure and Electrophysiology,EP mapping & diagnostics,Cryo mapping catheter,High-specificity mapping catheter designed for atrial fibrillation electrophysiology exams,"The IceMagic EasyLoop Mapping Catheter is designed for high specificity in atrial fibrillation electrophysiology examinations, enhancing treatment effectiveness when used in conjunction with cryoablation procedures.",High specificity for AF signal detection | Enhances treatment effectiveness | Two loop sizes available,Atrial fibrillation electrophysiology mapping during cryoablation procedures,Patients with atrial fibrillation undergoing cryoablation,Models: EPQM3Q15 | EPQM3Q20,NMPA 20213070003.,icemagic-easyloop-mapping.jpg,,,Heart Failure Management & Electrophysiology,Cardiology | Cardiac Electrophysiology | Interventional Catheterization Lab,EPQM3Q15 | EPQM3Q20,,ACTIVE,,,,,,,cleared,,,,,,,,
infinity115,Infinity115®,MicroPort Surgical,Emergency and Critical Care,Extracorporeal life support,Cardiopulmonary bypass and centrifugal pump system,Integrated CPB and centrifugal pump system for acute cardiopulmonary failure,The Infinity115® is a cardiopulmonary bypass and centrifugal pump system indicated for adult patients with acute respiratory or cardiopulmonary failure who cannot be managed by other treatment methods and face a risk of deterioration or death. The system is currently under development with NMPA approval targeted for December 2025.,Dual-function CPB and centrifugal pump system | Designed for acute respiratory and cardiopulmonary failure | Targets patients with foreseeable risk of deterioration or death,Acute respiratory failure or acute cardiopulmonary failure in adults difficult to control with other treatments and at foreseeable risk of deterioration or death,Adult patients with acute respiratory or cardiopulmonary failure,,NMPA approval estimated December 2025 (under development).,infinity115.jpg,,,,General Surgery Department,,,ACTIVE,,,,,,,in progress,,,,,,,,
intelligent-liquid-nitrogen-tank-cover,Intelligent Liquid Nitrogen Tank Cover,MicroPort Horizon,Endocrinology and Reproductive Health,Reproductive lab & systems,Cryogenic storage monitoring device,Continuous-monitoring tank cover with graded alarms to protect biological sample storage,The Intelligent Liquid Nitrogen Tank Cover provides continuous detection and long-term endurance monitoring for liquid nitrogen tanks used in biological sample storage. A graded alarm system alerts users to conditions that could compromise sample safety.,Continuous liquid nitrogen level detection | Long-term endurance monitoring | Graded alarm system | Protects biological sample integrity,Monitoring and protection of biological samples stored in liquid nitrogen tanks,,,,intelligent-liquid-nitrogen-tank-cover.jpg,,,,Reproductive Medicine | Sperm Bank,,,ACTIVE,,,,,,,,,,,,,,,
invicta,INVICTA™,MicroPort CardioFlow,Heart Failure and Electrophysiology,Leads,MRI DF4 active fixation defibrillation lead,MRI DF4 active fixation defibrillation leads for ICD and CRT-D devices,INVICTA™ are MRI DF4 active fixation defibrillation leads compatible with all ICD and CRT-D devices featuring a DF4 header.,MRI DF4 active fixation | Compatible with DF4 header ICDs and CRT-Ds,Defibrillation lead for ICD and CRT-D implantation,,Models: INVICTA 1CR58 | INVICTA 2CR58 | INVICTA 1CR68 | INVICTA 2CR68,CE G70 005178 0045 Rev. 00. TGA 422101. PMDA 30500BZX00131000,invicta.jpg,,,Heart Failure Management & Electrophysiology,Cardiology,INVICTA 1CR58 | INVICTA 2CR58 | INVICTA 1CR68 | INVICTA 2CR68,,ACTIVE,,,,cleared,,,,,,cleared,,,cleared,,
isrobot-mona-lisa,iSR'obot® Mona Lisa,MicroPort MedBot,"Robotic Surgery, AI, and Telesurgery",Surgical robots & navigation,Robotic prostate biopsy system,MRI-ultrasound fusion robotic system for targeted prostate biopsy,The iSR'obot® Mona Lisa (Model Dx-B00) is a robotic targeting prostate biopsy system that uses transperineal MRI-ultrasound 3D image fusion and fully automated robotic arm positioning to assist physicians in performing precise prostate biopsies. It increases biopsy positivity rates and reduces misdiagnosis.,Transperineal MRI-ultrasound 3D image fusion | Fully automated robotic arm positioning | Increases prostate cancer biopsy positivity rate | Reduces misdiagnosis rate,Robotic-assisted transperineal targeted prostate biopsy,Male patients requiring prostate biopsy for suspected prostate cancer,Model: Dx-B00,NMPA 20233010199. CE 603229. FDA K130944. TGA ARTG 231674.,isrobot-mona-lisa.jpg,,,Intelligent Surgery & Telemedicine,Urology,Dx-B00,,ACTIVE,cleared,,,cleared,,,cleared,,,,,,cleared,,
javelot-gopro-all-suture-anchor,Javelot® GoPro All-Suture Anchor,MicroPort Endophix,"Orthopedic Joint, Spine, and Trauma",Sports medicine & soft-tissue,All-suture anchor,Soft all-suture anchor for use when bone stock is limited,"The Javelot® GoPro All-Suture Anchor is comprised of sutures, suture tapes, or ribbons woven through a soft sleeve. Typically smaller than traditional anchors, it allows more anchors in the same space or is used when bone stock is limited.",Smaller profile than traditional anchors | Woven suture/suture tape/ribbon sleeve design | Sizes 1.6mm to 2.8mm | Maximizes anchor density,Soft tissue repair where bone stock is limited,,Sizes: 1.6mm | 2.6mm | 1.8mm | 2.8mm,NMPA 20243131647.,javelot-gopro-all-suture-anchor.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Sports Medicine-Orthopaedics,1.6mm | 2.6mm | 1.8mm | 2.8mm,,ACTIVE,,,,,,,cleared,,,,,,,,
javelot-plus-peek-suture-anchor,Javelot® Plus PEEK Suture Anchor,MicroPort Endophix,"Orthopedic Joint, Spine, and Trauma",Sports medicine & soft-tissue,PEEK suture anchor,PEEK suture anchor covering the majority of sports medicine surgeries,"The Javelot® Plus PEEK Suture Anchor offers diameters from 2.0mm to 6.5mm, covering the majority of sports medicine surgeries requiring suture anchor fixation.",Wide diameter range (2.0-6.5mm) | PEEK material | Broad sports medicine coverage,Shoulder and sports medicine soft tissue repair and reconstruction,,Diameters 2.0mm to 6.5mm; multiple model numbers available,NMPA 20233130192.,javelot-plus-peek-suture-anchor.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Sports Medicine-Orthopaedics,MS-1520PT | MS-1524PT | MS-1530PT | MS-1525PTK | MS1529PTK | MS-1535PTK | MS-1545PTK | MS-1545PS | MS-1555PS | MS-1565PS | MS-1537PLK1 | MS-1537PLK2 | MS-1545PLK | MS-1555PLK | S-1535PSK | MS-1547PSK | MS-1555PSK,,ACTIVE,,,,,,,cleared,,,,,,,,
javelot-suture-anchor,Javelot® Suture Anchor,MicroPort Endophix,"Orthopedic Joint, Spine, and Trauma",Sports medicine & soft-tissue,Suture anchor,Suture anchor with broad diameter range for sports medicine procedures,"The Javelot® Suture Anchor covers diameters from 2.0mm to 6.5mm for the majority of sports medicine surgeries, providing a versatile fixation option.",Wide diameter range (2.0-6.5mm) | Broad sports medicine application | Multiple model configurations,Shoulder and sports medicine soft tissue repair and reconstruction,,Diameters 2.0mm to 6.5mm; multiple model numbers available,"NMPA 20233130398, 20233130817.",javelot-suture-anchor.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Sports Medicine-Orthopaedics,MS-1120 | MS-1120N | MS-1128 | MS-1128N | MS-1128-1 | MS-1128-1N | MS-1135 | MS-1135N | MS-1150 | MS-1150N | MS-1165N | MS-1145 | MS-1245N | MS-1255 | MS-1255N | MS-1265N,,ACTIVE,,,,,,,cleared,,,,,,,,
kora-250,KORA™ 250,MicroPort CardioFlow,Heart Failure and Electrophysiology,Pacemakers,Implantable cardiac pacemaker,Pacemaker designed to improve patient outcomes and practice efficiency,KORA™ 250 is designed to improve patient outcomes while driving efficiency in practice.,SR and DR configurations,Cardiac pacing,,Models: KORA 250 SR | KORA 250 DR,CE G70 005178 0054 Rev. 00. NMPA 20243120032. PMDA 22800BZI00002000,kora-250.jpg,,,Heart Failure Management & Electrophysiology,Cardiology,KORA 250 SR | KORA 250 DR,,ACTIVE,,,,cleared,,,cleared,,,cleared,,,,,
la-fenice,La Fenice®,MicroPort Lifesciences,Endocrinology and Reproductive Health,Infusion pumps & consumables,Continuous subcutaneous insulin infusion pump,Portable continuous insulin infusion device optimized for Chinese dietary patterns,La Fenice® is a portable continuous insulin infusion pump optimized for Chinese dietary patterns and suitable for patients with frequent glucose fluctuations.,Optimized for Chinese dietary patterns | Designed for patients with frequent glucose fluctuations,Continuous insulin infusion for patients with frequent glucose fluctuations,Patients with frequent blood glucose fluctuations requiring continuous insulin delivery,Models: A | E,NMPA 20193140776,la-fenice.jpg,,,,Endocrinology | Internal Medicine | Geriatrics,AE,,ACTIVE,,,,,,,cleared,,,,,,,,
la-fenice-neolife,La Fenice®NeoLife™,MicroPort Lifesciences,Endocrinology and Reproductive Health,Infusion pumps & consumables,Hypothalamic hormone pulse infusion pump,Portable pulse infusion device for treating endocrine infertility,La Fenice®NeoLife™ is a portable hypothalamic or pituitary hormone pulse infusion device intended for treating endocrine infertility.,Portable design | Hypothalamic and pituitary hormone delivery | Pulse infusion mode,Treatment of endocrine infertility via hypothalamic or pituitary hormone pulse infusion,Patients with endocrine infertility requiring hormone pulse therapy,Model: LF-S-1,NMPA 20172140554,la-fenice-neolife.jpg,,,,Endocrinology | Internal Medicine | Geriatrics,LF-S-1,,ACTIVE,,,,,,,cleared,,,,,,,,
la-fenice-pro,La Fenice® Pro,MicroPort Lifesciences,Endocrinology and Reproductive Health,Infusion pumps & consumables,Continuous subcutaneous insulin infusion pump,Mobile-phone-connected continuous insulin infusion pump for active management,"La Fenice® Pro is a continuous insulin infusion pump that supports mobile phone management, optimized for Chinese dietary patterns.",Mobile phone management capability | Optimized for Chinese dietary patterns | Designed for frequent blood sugar fluctuation,Continuous insulin infusion for patients with frequent blood sugar fluctuations,Patients with frequent blood sugar fluctuations requiring continuous insulin delivery with remote monitoring,Models: V | I,NMPA 20233141366,la-fenice-pro.jpg,,,,Endocrinology | Internal Medicine | Geriatrics,VI,,ACTIVE,,,,,,,cleared,,,,,,,,
la-fenice-prolife,La Fenice®ProLife™,MicroPort Lifesciences,Endocrinology and Reproductive Health,Infusion pumps & consumables,Hypothalamic hormone pulse infusion pump,Bluetooth-connected portable hormone pulse infusion pump,La Fenice®ProLife™ is a portable hypothalamic or pituitary hormone pulse infusion device that supports wireless management via Bluetooth.,Wireless Bluetooth management | Portable design | Hypothalamic and pituitary hormone delivery | Pulse infusion mode,Treatment of endocrine infertility via hypothalamic or pituitary hormone pulse infusion; supports wireless (Bluetooth) management,Patients with endocrine infertility requiring hormone pulse therapy with wireless monitoring,Model: LF-SII,NMPA 20232140088,la-fenice-prolife.jpg,,,,Endocrinology | Internal Medicine | Geriatrics,LF-SII,,ACTIVE,,,,,,,cleared,,,,,,,,
la-paloma-autoex,La Paloma™ Autoex,MicroPort Lifesciences,"Urology, Oncology, and Gastroenterology",Infusion pumps & consumables,Portable chemotherapy infusion pump,Dual-bag chemotherapy pump with automatic flushing to minimize drug residual,La Paloma™ Autoex is a portable chemotherapy infusion pump featuring a dual-bag design that enables automatic flushing to reduce residual drug and limit patient exposure risks.,Dual-bag design | Automatic flushing mechanism | Reduces drug residual and exposure risk | Portable form factor,Portable chemotherapy drug infusion,Oncology patients requiring ambulatory chemotherapy infusion,Type: F1,NMPA 20223140366,la-paloma-autoex.jpg,,,,Oncology | Gastrointestinal Surgery | Interventional Radiology | Hepatobiliary Surgery | Colorectal Surgery,F1,,ACTIVE,,,,,,,cleared,,,,,,,,
lifewell-cardioplegia-delivery-system,LifeWell® Cardioplegia Delivery System,MicroPort Surgical,Emergency and Critical Care,Extracorporeal life support,Cardioplegia delivery system,Delivers myocardial protective fluid to stop the heart during cardiac surgery,The LifeWell® Cardioplegia Delivery System is used during extracorporeal circulation to inject myocardial protective fluid into the coronary arteries to arrest the heart.,PE tube and stainless steel coil model variants | Used during extracorporeal circulation,Injection of myocardial protective fluid into coronary arteries to arrest the heart during extracorporeal circulation,,CDS-B-1: PE tube | CDS-B-2: Stainless steel coil,NMPA 20153101935.,lifewell-cardioplegia-delivery-system.jpg,,,,General Surgery Department,CDS-B-1 PE tube | CDS-B-2 Stainless steel coil,,ACTIVE,,,,,,,cleared,,,,,,,,
ligabond-recon-uhmwpe-suture,Ligabond® Recon Ultra-High Molecular Weight Polyethylene Suture,MicroPort Endophix,"Orthopedic Joint, Spine, and Trauma",Sports medicine & soft-tissue,UHMWPE suture for tendon and ligament repair,"UHMWPE suture for repair, fixation, and reconstruction of tendons and ligaments","Ligabond® Recon is an ultra-high molecular weight polyethylene suture designed for the repair, fixation, and reconstruction of tendons and ligaments, enabling secure attachment of soft tissue to bone.",UHMWPE material | Tendon and ligament repair and reconstruction | Secure soft tissue-to-bone attachment,"Repair, fixation, and reconstruction of tendons and ligaments",,,NMPA 20243132046.,s3:products/e0a79adca5e711ab2c326f0b13965dd4ea490c9dc2c2cf00c03876816c407de2.png,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Sports Medicine-Orthopaedics,,,ACTIVE,,,,,,,cleared,,,,,,,,
ligabond-surgical-suture-series,Ligabond® Surgical Suture Series,MicroPort Endophix,"Orthopedic Joint, Spine, and Trauma",Sports medicine & soft-tissue,UHMWPE orthopedic suture,Multi-strand UHMWPE suture with superior strength and abrasion resistance,"Ligabond® surgical suture is constructed of multi-strand, long-chain ultra-high molecular weight polyethylene (UHMWPE), providing superior strength, soft feel, and abrasion resistance for orthopedic surgery.",Multi-strand UHMWPE construction | Superior strength and abrasion resistance | Available in suture and suture tape formats | Multiple color options,Orthopedic soft tissue repair and reconstruction,,Suture and Suture Tape formats; Colors: White | Blue | Blue/White | Black/White,NMPA 20232021721.,ligabond-surgical-suture-series.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Sports Medicine-Orthopaedics,Suture | Suture Tape | White | Blue | Bluewhite | Blackwhite,,ACTIVE,,,,,,,cleared,,,,,,,,
